chair;0.976399;1.937228:0.617582:0.000000;0.226202:0.000000:0.000000:-0.974080;34.002962
chair;0.944966;1.816496:0.550956:0.000000;0.198647:0.000000:0.000000:-0.980071;34.104615
chair;0.942529;1.816496:0.550956:0.000000;0.198647:0.000000:0.000000:-0.980071;34.207093
chair;0.856574;1.816496:0.550956:0.000000;0.198647:0.000000:0.000000:-0.980071;34.309622
chair:tvmonitor;0.925699:0.718927;1.816496:0.550956:0.000000;0.198647:0.000000:0.000000:-0.980071;34.411072
chair;0.907294;1.816496:0.550956:0.000000;0.198647:0.000000:0.000000:-0.980071;34.512975
chair;0.776557;1.688789:0.489908:0.000000;0.197951:0.000000:0.000000:-0.980212;34.615170
chair;0.727948;1.688789:0.489908:0.000000;0.197951:0.000000:0.000000:-0.980212;34.717046
chair;0.737945;1.571262:0.422739:0.000000;0.201704:0.000000:0.000000:-0.979447;34.818263
chair;0.791246;1.571262:0.422739:0.000000;0.201704:0.000000:0.000000:-0.979447;34.917300
tvmonitor;0.798666;1.571262:0.422739:0.000000;0.201704:0.000000:0.000000:-0.979447;35.120420
tvmonitor;0.752696;1.571262:0.422739:0.000000;0.201704:0.000000:0.000000:-0.979447;35.223723
chair:tvmonitor;0.715102:0.838360;1.439660:0.366016:0.000000;0.201364:0.000000:0.000000:-0.979517;35.323256
tvmonitor;0.832940;1.439660:0.366016:0.000000;0.201364:0.000000:0.000000:-0.979517;35.425649
tvmonitor;0.832559;1.439660:0.366016:0.000000;0.201364:0.000000:0.000000:-0.979517;35.527965
tvmonitor;0.893039;1.439660:0.366016:0.000000;0.201364:0.000000:0.000000:-0.979517;35.630121
tvmonitor;0.888137;1.439660:0.366016:0.000000;0.201364:0.000000:0.000000:-0.979517;35.833625
cup;0.713194;1.305770:0.311628:0.000000;0.204045:0.000000:0.000000:-0.978962;35.934768
microwave;0.712675;1.188846:0.254783:0.000000;0.205453:0.000000:0.000000:-0.978667;37.769268
oven;0.743793;1.188846:0.254783:0.000000;0.205453:0.000000:0.000000:-0.978667;37.871185
oven;0.802865;1.099023:0.221562:0.000000;0.151483:0.000000:0.000000:-0.988460;38.281765
tvmonitor;0.742434;1.099023:0.221562:0.000000;0.151483:0.000000:0.000000:-0.988460;38.487093
oven;0.808483;1.087234:0.229303:0.000000;0.102075:0.000000:0.000000:-0.994777;38.590612
oven;0.785003;1.087234:0.229303:0.000000;0.102075:0.000000:0.000000:-0.994777;38.794334
oven;0.833879;1.087234:0.229303:0.000000;0.102075:0.000000:0.000000:-0.994777;38.897231
oven;0.742659;1.083721:0.236481:0.000000;0.048518:0.000000:0.000000:-0.998822;39.304673
person;0.765130;1.068751:0.260828:0.000000;0.176563:0.000000:0.000000:0.984289;40.637213
person;0.819915;1.068751:0.260828:0.000000;0.176563:0.000000:0.000000:0.984289;40.739176
person;0.735276;1.068751:0.260828:0.000000;0.176563:0.000000:0.000000:0.984289;40.841996
person;0.738492;1.065118:0.259885:0.000000;0.232886:0.000000:0.000000:0.972504;40.945111
person:person;0.741579:0.716070;1.061379:0.270214:0.000000;0.285143:0.000000:0.000000:0.958485;41.152789
person;0.899606;1.061379:0.270214:0.000000;0.285143:0.000000:0.000000:0.958485;41.253958
person:chair;0.756087:0.926562;1.061379:0.270214:0.000000;0.285143:0.000000:0.000000:0.958485;41.358176
person:chair;0.808495:0.899079;1.061379:0.270214:0.000000;0.285143:0.000000:0.000000:0.958485;41.461527
person:chair;0.723953:0.888222;1.061379:0.270214:0.000000;0.285143:0.000000:0.000000:0.958485;41.564443
chair;0.885391;1.061379:0.270214:0.000000;0.285143:0.000000:0.000000:0.958485;41.666764
person:chair;0.794397:0.882376;1.060164:0.278400:0.000000;0.339553:0.000000:0.000000:0.940587;41.769320
person:person:chair;0.994933:0.805967:0.925011;1.060164:0.278400:0.000000;0.339553:0.000000:0.000000:0.940587;41.872025
person:chair;0.999185:0.931547;1.058461:0.278785:0.000000;0.392506:0.000000:0.000000:0.919749;41.974046
